Name,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) 2nd Season - Kakusei Zenya,TV,8,Finished Airing,"Aug 1, 2021 to Sep 26, 2021",Aniplex,Aniplex of America,Shaft,Game,"Drama, Suspense","Psychological, Mahou Shoujo",23 min. per ep.,PG-13 - Teens 13 or older,"7.01 scored by 11,760 users",#3836,#2659,"48,150",422
Lost Universe,TV,26,Finished Airing,"Apr 3, 1998 to Sep 25, 1998","SoftX, Studio Tulip","Nozomi Entertainment, ADV Films",E&G Films,Light novel,"Adventure, Sci-Fi, Drama, Comedy",Space,22 min. per ep.,PG-13 - Teens 13 or older,"7.01 scored by 6,258 users",#3835,#4624,"15,312",47
Gunslinger Girl: Il Teatrino OVA,OVA,2,Finished Airing,"Oct 24, 2008",Marvelous,Funimation,Artland,Manga,"Drama, Sci-Fi, Action",Military,23 min. per ep.,PG-13 - Teens 13 or older,"6.99 scored by 9,591 users",#3900,#3969,"22,084",10
Furusato Saisei: Nippon no Mukashibanashi,TV,258,Finished Airing,"Apr 1, 2012 to Mar 26, 2017","Peter Pan Creation, TV Tokyo, Sony Music Entertainment","None found, add some",Tomason,Other,,Historical,24 min. per ep.,G - All Ages,"6.99 scored by 2,611 users",#3899,#5425,"10,222",25
Dr. Slump,TV,74,Finished Airing,"Nov 26, 1997 to Sep 22, 1999",Fuji TV,"None found, add some",Toei Animation,Manga,"Slice of Life, Sci-Fi, Comedy",Gag Humor,25 min. per ep.,PG-13 - Teens 13 or older,"6.99 scored by 6,916 users",#3898,#4521,"16,258",45
Doraemon Movie 16: Nobita no Sousei Nikki,Movie,1,Finished Airing,"Mar 4, 1995","None found, add some","None found, add some",Shin-Ei Animation,Unknown,"Adventure, Sci-Fi, Fantasy, Comedy",Time Travel,1 hr. 38 min.,PG - Children,"6.99 scored by 1,863 users",#3897,#8090,"3,720",1
Danball Senki,TV,44,Finished Airing,"Mar 2, 2011 to Jan 11, 2012","Dentsu, TV Tokyo",Dentsu Entertainment USA,OLM,Game,,Mecha,23 min. per ep.,G - All Ages,"6.99 scored by 3,928 users",#3896,#5796,"8,735",44
Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen,Movie,1,Finished Airing,"Apr 18, 1998",TV Asahi,"None found, add some",Shin-Ei Animation,Manga,"Ecchi, Slice of Life, Comedy",School,1 hr. 39 min.,G - All Ages,"6.99 scored by 1,942 users",#3895,#7976,"3,890",2
Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,Movie,1,Finished Airing,"Apr 23, 1994","Asatsu DK, Imagine, TV Asahi","None found, add some",Shin-Ei Animation,Manga,"Adventure, Action, Comedy",,1 hr. 33 min.,G - All Ages,"6.99 scored by 4,531 users",#3894,#6251,"7,280",7
Bakuman. 3rd Season Specials,Special,2,Finished Airing,"Jun 26, 2013 to Aug 28, 2013","None found, add some","None found, add some",J.C.Staff,Manga,,,3 min. per ep.,PG-13 - Teens 13 or older,"6.99 scored by 5,607 users",#3893,#4595,"15,622",16
Air Master,TV,27,Finished Airing,"Apr 2, 2003 to Oct 1, 2003","Nippon Television Network, VAP",Geneon Entertainment USA,Toei Animation,Manga,"Action, Comedy",Martial Arts,24 min. per ep.,R - 17+ (violence & profanity),"6.99 scored by 15,280 users",#3892,#3129,"35,565",131
Leadale no Daichi nite,TV,12,Finished Airing,"Jan 5, 2022 to Mar 23, 2022","None found, add some","None found, add some",Maho Film,Light novel,"Adventure, Fantasy","Reincarnation, Isekai",23 min. per ep.,PG-13 - Teens 13 or older,"7.00 scored by 35,859 users",#3891,#1789,"92,909",537
Himouto! Umaru-chanS,Special,12,Finished Airing,"Sep 16, 2015 to Feb 17, 2016","None found, add some",Sentai Filmworks,Doga Kobo,Manga,"Slice of Life, Comedy",,2 min. per ep.,PG-13 - Teens 13 or older,"7.00 scored by 33,979 users",#3889,#2146,"70,120",102
Kaibutsu Oujo,TV,25,Finished Airing,"Apr 13, 2007 to Sep 28, 2007","Index, Lantis, Universal Pictures Japan, Imagin","Sentai Filmworks, ADV Films",Madhouse,Manga,"Horror, Supernatural, Action, Comedy",Vampire,24 min. per ep.,PG-13 - Teens 13 or older,"7.00 scored by 27,568 users",#3890,#2070,"73,642",190
Halo Legends,ONA,8,Finished Airing,"Nov 7, 2009 to Feb 16, 2010",Casio Entertainment,Warner Bros. Japan,"Bones, Production I.G, Studio 4°C, Bee Train, Toei Animation",Game,"Drama, Sci-Fi, Action",Military,14 min. per ep.,PG-13 - Teens 13 or older,"7.00 scored by 21,706 users",#3888,#3031,"38,020",185
Girls & Panzer: Fushou Akiyama Yukari no Sensha Kouza,Special,6,Finished Airing,"Dec 21, 2012 to Jun 21, 2013","None found, add some","None found, add some",Actas,Original,,"School, Military",11 min. per ep.,PG-13 - Teens 13 or older,"7.00 scored by 4,803 users",#3887,#5122,"11,928",9
Fate/kaleid liner Prisma☆Illya 2wei!: Mahou Shoujo in Onsen Ryokou,OVA,1,Finished Airing,"Jul 25, 2015","Lantis, DAX Production","None found, add some",SILVER LINK.,Manga,"Ecchi, Fantasy, Comedy",,26 min.,PG-13 - Teens 13 or older,"7.00 scored by 17,160 users",#3885,#3062,"37,254",24
Gatchaman Crowds: Insight - Inbound,ONA,1,Finished Airing,"Jun 20, 2015","None found, add some",Sentai Filmworks,Tatsunoko Production,Original,"Adventure, Sci-Fi",,14 min.,PG-13 - Teens 13 or older,"7.00 scored by 11,607 users",#3886,#3823,"23,995",13
Kyuuketsuhime Miyu,OVA,4,Finished Airing,"Jul 21, 1988 to Apr 21, 1989","Soeishinsha, Pony Canyon",AnimEigo,AIC,Manga,"Drama, Horror, Action","Mythology, Vampire",28 min. per ep.,PG-13 - Teens 13 or older,"6.98 scored by 7,424 users",#3950,#4229,"19,066",64
Kindaichi Shounen no Jikenbo Movie 2: Satsuriku no Deep Blue,Movie,1,Finished Airing,"Aug 21, 1999","None found, add some","None found, add some",Toei Animation,Light novel,,,1 hr. 30 min.,None,6.98 scored by None users,#3949,#9929,"1,841",3
Kiddy Grade: Ignition,Movie,1,Finished Airing,"Apr 7, 2007",gimik,"None found, add some","asread., Gonzo",Original,"Sci-Fi, Action","Super Power, Mecha",1 hr. 24 min.,PG-13 - Teens 13 or older,"6.98 scored by 1,371 users",#3948,#7488,"4,632",5
Kaibutsu Oujo: Konsui Oujo,Special,1,Finished Airing,"Feb 14, 2008",Lantis,Sentai Filmworks,Madhouse,Manga,"Horror, Supernatural, Action, Comedy",Vampire,23 min.,PG-13 - Teens 13 or older,"6.98 scored by 4,940 users",#3947,#5290,"10,901",14
Kachou Ouji,TV,13,Finished Airing,"Jul 8, 1999 to Oct 7, 1999",Pioneer LDC,"Geneon Entertainment USA, Discotek Media","AIC, APPP",Original,"Adventure, Slice of Life, Sci-Fi, Comedy","Space, Music",25 min. per ep.,R+ - Mild Nudity,"6.98 scored by 7,550 users",#3946,#3544,"28,115",105
Hakumei no Tsubasa: Expansion - Hoshi no Matsuri,ONA,1,Finished Airing,"Nov 5, 2020",FILMONY,"None found, add some",Studio Colorido,Game,,,6 min.,PG - Children,"6.98 scored by 3,110 users",#3944,#7169,"5,099",1
Hoshi wo Katta Hi,Movie,1,Finished Airing,"Jan 3, 2006","None found, add some","None found, add some",Studio Ghibli,Original,,,16 min.,G - All Ages,6.98 scored by None users,#3945,#6303,"7,078",4
Full Metal Panic! Movie 3: Into the Blue,Movie,1,Finished Airing,"Jan 20, 2018","None found, add some","None found, add some",Gonzo,Light novel,"Sci-Fi, Action, Comedy","Mecha, Military",2 hr.,R - 17+ (violence & profanity),6.98 scored by None users,#3943,#6812,"5,830",5
Chobits: Chibits,Special,1,Finished Airing,"Jun 27, 2003","Movic, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Manga,"Romance, Comedy",,6 min.,PG-13 - Teens 13 or older,"6.98 scored by 25,892 users",#3940,#2751,"44,769",59
Fukumenkei Noise,TV,12,Finished Airing,"Apr 11, 2017 to Jun 27, 2017","Kansai Telecasting, KlockWorx, Nihon Ad Systems, Hakusensha, Shogakukan-Shueisha Productions, BS Fuji, Warner Bros. Japan",Sentai Filmworks,Brain's Base,Manga,"Drama, Romance","School, Music",23 min. per ep.,PG-13 - Teens 13 or older,"6.98 scored by 44,080 users",#3942,#1597,"108,570",572
Bessatsu Olympia Kyklos,TV,24,Finished Airing,"Apr 20, 2020 to Nov 2, 2020",Fuji TV,"None found, add some",Gosay Studio,Manga,"Slice of Life, Sports, Comedy",Historical,5 min. per ep.,PG-13 - Teens 13 or older,"6.98 scored by 5,718 users",#3939,#4591,"15,648",57
Detective Conan: Happy New Year Special,Special,1,Finished Airing,"Jan 3, 2015","None found, add some","None found, add some",TMS Entertainment,Unknown,"Mystery, Action, Comedy",Detective,24 min.,PG-13 - Teens 13 or older,"6.98 scored by 1,412 users",#3941,#8071,"3,758",0
Bakusou Kyoudai Let's & Go WGP,TV,51,Finished Airing,"Jan 6, 1997 to Dec 22, 1997","None found, add some","None found, add some",Xebec,Manga,,Racing,25 min. per ep.,G - All Ages,"6.98 scored by 3,128 users",#3938,#6975,"5,466",24
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,Special,6,Finished Airing,"Feb 23, 2011 to Mar 30, 2011","None found, add some","None found, add some",SILVER LINK.,Unknown,,School,3 min. per ep.,PG-13 - Teens 13 or older,"6.98 scored by 4,433 users",#3937,#5051,"12,361",12
Appleseed Alpha,Movie,1,Finished Airing,"Jan 17, 2015","Lucent Pictures Entertainment, Sony Pictures Entertainment, Aniplex","None found, add some",Sola Digital Arts,Manga,"Adventure, Sci-Fi, Action","Mecha, Detective, Military",1 hr. 33 min.,R - 17+ (violence & profanity),"6.98 scored by 8,834 users",#3936,#4436,"17,102",34
Aki no Kanade,Movie,1,Finished Airing,"Mar 22, 2015",Exa International,"None found, add some",J.C.Staff,Original,,"School, Music",25 min.,PG-13 - Teens 13 or older,"6.98 scored by 9,944 users",#3935,#4064,"20,799",28
Tsukuyomi: Moon Phase,TV,25,Finished Airing,"Oct 5, 2004 to Mar 29, 2005","None found, add some",Funimation,Shaft,Manga,"Romance, Fantasy, Comedy",Vampire,24 min. per ep.,PG-13 - Teens 13 or older,"6.96 scored by 28,571 users",#4000,#2133,"70,570",250
Tantei Opera Milky Holmes: Summer Special,Special,1,Finished Airing,"Aug 25, 2011","Chrono Gear Creative, Bushiroad","None found, add some",J.C.Staff,Original,"Mystery, Comedy",Super Power,25 min.,PG-13 - Teens 13 or older,"6.96 scored by 3,129 users",#3999,#6414,"6,790",2
Starmyu 3rd Season,TV,12,Finished Airing,"Jul 1, 2019 to Sep 16, 2019",NBCUniversal Entertainment Japan,"None found, add some",C-Station,Original,,"Performing Arts, Idols (Male), School, Music",23 min. per ep.,PG-13 - Teens 13 or older,"6.96 scored by 2,600 users",#3998,#5743,"8,931",30
Soukyuu no Fafner: Dead Aggressor - Exodus Special,Special,1,Finished Airing,"Feb 4, 2015","None found, add some","None found, add some","Xebec, I.Gzwei",Original,"Drama, Sci-Fi, Action","Mecha, Military",35 min.,PG-13 - Teens 13 or older,6.96 scored by None users,#3997,#10064,"1,754",2
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",TV,13,Finished Airing,"Oct 6, 2021 to Dec 29, 2021","None found, add some",Funimation,"Studio Flad, Wolfsbane",Light novel,"Adventure, Slice of Life, Romance, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"6.96 scored by 91,343 users",#3996,#942,"203,874","1,669"
Shin Hokuto no Ken,OVA,3,Finished Airing,"Jul 24, 2003 to May 28, 2004","Sega, Kitty Films, OB Planning","Sentai Filmworks, ADV Films",A.C.G.T.,Novel,"Sci-Fi, Action",Martial Arts,58 min. per ep.,R+ - Mild Nudity,"6.96 scored by 5,543 users",#3995,#4910,"13,147",12
"Shikabane Hime: Kuro – Soredemo, Hito to Shite",Special,1,Finished Airing,"Aug 5, 2009","None found, add some",Funimation,Gainax,Manga,"Drama, Horror, Adventure, Action, Supernatural",,23 min.,R - 17+ (violence & profanity),"6.96 scored by 5,753 users",#3994,#4735,"14,420",8
Ro-Kyu-Bu!: Tomoka no Ichigo Sundae,OVA,1,Finished Airing,"Jun 20, 2013","Project No.9, Studio Blanc","None found, add some","None found, add some",Unknown,"Ecchi, Sports, Comedy","School, Team Sports",25 min.,PG-13 - Teens 13 or older,"6.96 scored by 8,315 users",#3993,#4510,"16,407",6
Project ARMS,TV,26,Finished Airing,"Apr 7, 2001 to Sep 29, 2001","None found, add some","VIZ Media, Discotek Media",TMS Entertainment,Manga,,"Super Power, Martial Arts",24 min. per ep.,R - 17+ (violence & profanity),"6.96 scored by 3,568 users",#3992,#5073,"12,226",34
Precure Dream Stars! Movie,Movie,1,Finished Airing,"Mar 18, 2017",Kinoshita Group Holdings,"None found, add some",Toei Animation,Original,"Action, Fantasy, Comedy",Mahou Shoujo,1 hr. 11 min.,G - All Ages,"6.96 scored by 1,080 users",#3991,#8576,"3,066",10
Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,Movie,1,Finished Airing,"Jul 17, 2004",Studio Jack,"Miramax Films, 4Kids Entertainment",OLM,Game,"Sci-Fi, Adventure, Action, Fantasy, Comedy",,1 hr. 38 min.,PG - Children,"6.96 scored by 64,091 users",#3990,#1685,"101,732",36
Peach Girl,TV,25,Finished Airing,"Jan 8, 2005 to Jun 25, 2005","Marvelous, TV Tokyo, Studio Jack",Funimation,Studio Comet,Manga,"Drama, Slice of Life, Romance",School,24 min. per ep.,PG-13 - Teens 13 or older,"6.96 scored by 47,432 users",#3989,#1805,"91,920",739
Otogi Juushi Akazukin,TV,39,Finished Airing,"Jul 1, 2006 to Mar 31, 2007","None found, add some","None found, add some",Madhouse,Original,"Adventure, Fantasy, Comedy",,24 min. per ep.,PG-13 - Teens 13 or older,"6.96 scored by 1,676 users",#3988,#6473,"6,607",10
Osake wa Fuufu ni Natte kara,TV,13,Finished Airing,"Oct 4, 2017 to Dec 27, 2017","VAP, Tokyo MX, Yomiko Advertising, Cloud22, GYAO!","None found, add some",Creators in Pack,Web manga,"Slice of Life, Romance, Gourmet, Comedy",,3 min. per ep.,PG-13 - Teens 13 or older,"6.96 scored by 89,032 users",#3987,#1027,"182,321",330
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,TV,13,Finished Airing,"Apr 7, 2013 to Jun 30, 2013",Aniplex,Aniplex of America,A-1 Pictures,Light novel,"Slice of Life, Romance, Comedy",Otaku Culture,24 min. per ep.,PG-13 - Teens 13 or older,"6.96 scored by 245,797 users",#3986,#444,"401,845","1,191"
Ninja Senshi Tobikage,TV,43,Finished Airing,"Oct 6, 1985 to Jul 27, 1986","None found, add some",Discotek Media,Studio Pierrot,Original,"Adventure, Sci-Fi","Space, Mecha",24 min. per ep.,PG-13 - Teens 13 or older,"6.96 scored by 1,328 users",#3985,#7871,"4,040",17
Monochrome Factor,TV,24,Finished Airing,"Apr 8, 2008 to Sep 30, 2008","Sotsu, Genco",Maiden Japan,A.C.G.T.,Manga,"Supernatural, Action, Boys Love",,24 min. per ep.,PG-13 - Teens 13 or older,"6.96 scored by 21,355 users",#3984,#2447,"56,363",208
YAT Anshin! Uchuu Ryokou 2,TV,25,Finished Airing,"Apr 11, 1998 to Oct 3, 1998",NHK,"None found, add some",Group TAC,Original,"Adventure, Sci-Fi, Comedy",,25 min. per ep.,PG-13 - Teens 13 or older,6.97 scored by None users,#3983,#11414,"1,009",2
Uchuu no Kishi Tekkaman Blade OVA: Twin Blood,OVA,1,Finished Airing,"Nov 17, 1994","None found, add some","None found, add some","None found, add some",Unknown,"Sci-Fi, Action",Mecha,10 min.,R - 17+ (violence & profanity),"6.97 scored by 1,318 users",#3982,#8109,"3,680",6
To Be Hero,TV,12,Finished Airing,"Oct 5, 2016 to Dec 21, 2016","Emon, Studio LAN","None found, add some",Haoliners Animation League,Original,,,11 min. per ep.,PG-13 - Teens 13 or older,"6.97 scored by 26,173 users",#3981,#2440,"56,805",152
Strike Witches,TV,12,Finished Airing,"Jul 4, 2008 to Sep 19, 2008","Kadokawa Shoten, KlockWorx, GDH, NTT Docomo",Funimation,Gonzo,Original,"Ecchi, Sci-Fi, Action",Military,24 min. per ep.,R+ - Mild Nudity,"6.97 scored by 64,879 users",#3979,#1193,"158,315",993
Ma La Nu Pei,ONA,32,Finished Airing,"Apr 7, 2020 to Jul 18, 2020",Tencent Penguin Pictures,"None found, add some","None found, add some",Manga,"Romance, Comedy",,8 min. per ep.,None,6.95 scored by None users,#4050,#8219,"3,539",17
Lupin III: The Last Job,Special,1,Finished Airing,"Feb 12, 2010","None found, add some",Discotek Media,TMS Entertainment,Manga,"Adventure, Action, Comedy",Adult Cast,1 hr. 32 min.,PG-13 - Teens 13 or older,"6.95 scored by 2,430 users",#4049,#6390,"6,854",2
Tezuka Osamu no Buddha: Akai Sabaku yo! Utsukushiku,Movie,1,Finished Airing,"May 28, 2011",Tezuka Productions,"None found, add some",Toei Animation,Manga,"Drama, Supernatural","Historical, Military",1 hr. 51 min.,R - 17+ (violence & profanity),"6.97 scored by 2,860 users",#3980,#5897,"8,409",15
Love Live! School Idol Project Recap,Special,1,Finished Airing,"Dec 25, 2013",Lantis,"None found, add some",Sunrise,Unknown,,"School, Idols (Female), Music",30 min.,PG-13 - Teens 13 or older,"6.95 scored by 3,005 users",#4048,#5787,"8,777",14
KimiKiss Pure Rouge: Love Fighter,Special,1,Finished Airing,"Aug 22, 2008","None found, add some","None found, add some",J.C.Staff,Visual novel,,School,24 min.,PG-13 - Teens 13 or older,"6.95 scored by 6,470 users",#4047,#5135,"11,843",5
Keijo!!!!!!!!,TV,12,Finished Airing,"Oct 6, 2016 to Dec 22, 2016","NichiNare, Sotsu, KlockWorx, Lantis, Radio Osaka, Medicos Entertainment, Shogakukan, Warner Bros. Japan",Funimation,Xebec,Manga,"Ecchi, Sports, Action",,23 min. per ep.,PG-13 - Teens 13 or older,"6.95 scored by 175,461 users",#4046,#502,"356,559","1,281"
Kami-tachi ni Hirowareta Otoko,TV,12,Finished Airing,"Oct 4, 2020 to Dec 20, 2020","Bandai Namco Arts, Nikkatsu, KlockWorx, Asmik Ace, Lantis, Hobby Japan, AMG MUSIC, Hakuhodo DY Music & Pictures, Amusement Media Academy, Toei Video, Exa International, BS Fuji",Funimation,Maho Film,Light novel,"Adventure, Slice of Life, Fantasy","Iyashikei, Reincarnation, Isekai",23 min. per ep.,PG-13 - Teens 13 or older,"6.95 scored by 74,609 users",#4045,#1320,"139,783",708
Jashin-chan Dropkick,TV,11,Finished Airing,"Jul 10, 2018 to Sep 17, 2018","Global Solutions, ibis Capital Partners, Strawberry Meets Pictures, Y&N Brothers, Hokkaido Cultural Broadcasting, BookLive, BS Fuji, Kanetsu Investment","None found, add some",Nomad,Web manga,"Supernatural, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older,"6.95 scored by 32,964 users",#4043,#1832,"89,957",265
Huyao Xiao Hongniang: Jin Chenxi,ONA,10,Finished Airing,"Jun 19, 2020 to Aug 14, 2020","None found, add some","None found, add some","Haoliners Animation League, Garden Culture",Manga,"Drama, Romance, Supernatural, Comedy",Historical,18 min. per ep.,PG-13 - Teens 13 or older,6.95 scored by None users,#4042,#9502,"2,148",2
Hi no Tori: Uchuu-hen,OVA,1,Finished Airing,"Dec 21, 1987","Kadokawa Shoten, Tezuka Productions, Tohokushinsha Film Corporation","None found, add some",Madhouse,Manga,"Drama, Sci-Fi, Fantasy",Space,48 min.,PG-13 - Teens 13 or older,6.95 scored by None users,#4041,#8981,"2,651",4
Kagaku Ninja-tai Gatchaman,TV,105,Finished Airing,"Oct 1, 1972 to Sep 29, 1974","None found, add some","Sentai Filmworks, ADV Films",Tatsunoko Production,Original,"Adventure, Sci-Fi, Action",,26 min. per ep.,PG-13 - Teens 13 or older,"6.95 scored by 3,204 users",#4044,#5700,"9,070",55
HeatGuy J Special,Special,1,Finished Airing,"Sep 26, 2003",Bandai Visual,"Funimation, Geneon Entertainment USA",Satelight,Original,"Adventure, Sci-Fi, Action","Mecha, Detective",25 min.,PG-13 - Teens 13 or older,"6.95 scored by 1,030 users",#4040,#9189,"2,420",1
Guilty Crown: 4-koma Gekijou,Special,11,Finished Airing,"Jan 25, 2012 to Nov 21, 2012","Studio Moriken, Aniplex",Funimation,Production I.G,4-koma manga,,,1 min. per ep.,R - 17+ (violence & profanity),"6.95 scored by 7,423 users",#4039,#3761,"24,743",26
Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,OVA,1,Finished Airing,"Apr 25, 2002","Bandai Visual, Broccoli",Bandai Entertainment,Madhouse,Unknown,"Sci-Fi, Comedy",,13 min.,PG-13 - Teens 13 or older,"6.95 scored by 1,191 users",#4038,#8646,"2,996",1
Full Metal Panic! Movie 1: Boy Meets Girl,Movie,1,Finished Airing,"Nov 25, 2017","None found, add some","None found, add some",Gonzo,Light novel,"Sci-Fi, Action, Comedy","Mecha, Military",2 hr.,R - 17+ (violence & profanity),6.95 scored by None users,#4037,#6612,"6,292",4
Devil May Cry,TV,12,Finished Airing,"Jun 14, 2007 to Sep 6, 2007","WOWOW, Capcom, Media Factory, Showgate","Funimation, ADV Films",Madhouse,Game,"Action, Fantasy","Gore, Mythology",24 min. per ep.,R - 17+ (violence & profanity),"6.95 scored by 158,362 users",#4036,#673,"283,701","1,504"
Dai Mahou Touge,OVA,4,Finished Airing,"Mar 20, 2006 to Mar 21, 2007","None found, add some",Media Blasters,Diomedéa,Manga,"Supernatural, Comedy",Gag Humor,24 min. per ep.,R - 17+ (violence & profanity),"6.95 scored by 11,758 users",#4035,#3428,"29,897",101
Deadman Wonderland: Akai Knife Tsukai,OVA,1,Finished Airing,"Oct 8, 2011","None found, add some",Funimation,Manglobe,Manga,"Horror, Sci-Fi, Action",,27 min.,R - 17+ (violence & profanity),"6.94 scored by 72,838 users",#4100,#1415,"126,722",60
Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,Movie,1,Finished Airing,"Jul 24, 1993","Asatsu DK, TV Asahi","None found, add some",Shin-Ei Animation,4-koma manga,"Adventure, Action, Comedy",,1 hr. 33 min.,G - All Ages,"6.94 scored by 4,234 users",#4099,#6366,"6,908",5
Code Geass: Hangyaku no Lelouch Picture Drama,Special,9,Finished Airing,"Jan 27, 2007 to Sep 25, 2007","None found, add some","Bandai Entertainment, Funimation",Sunrise,Original,"Slice of Life, Comedy",School,4 min. per ep.,PG-13 - Teens 13 or older,"6.94 scored by 22,901 users",#4098,#2667,"47,895",73
Chuunibyou demo Koi ga Shitai! Movie: Take On Me Mini-Drama - Koukai Chokuzen no... Kaiko Gekijou,ONA,24,Finished Airing,"Nov 17, 2017 to Jan 5, 2018","None found, add some","None found, add some",Kyoto Animation,Unknown,,,20 sec. per ep.,G - All Ages,"6.94 scored by 5,367 users",#4097,#4481,"16,699",31
Choujigen Game Neptune The Animation,TV,12,Finished Airing,"Jul 12, 2013 to Sep 27, 2013","Magic Capsule, Media Factory, Frontier Works, Idea Factory",Funimation,David Production,Game,"Sci-Fi, Action, Fantasy, Supernatural, Comedy",Parody,24 min. per ep.,PG-13 - Teens 13 or older,"6.94 scored by 57,862 users",#4096,#1300,"142,890","1,175"
Cheburashka,Movie,1,Finished Airing,"Dec 18, 2010","None found, add some","None found, add some","None found, add some",Book,,,1 hr. 20 min.,G - All Ages,6.94 scored by None users,#4095,#10738,"1,320",3
Binchou-tan,TV,12,Finished Airing,"Feb 2, 2006 to Apr 15, 2006","Bandai Visual, Alchemist, TBS, Frontier Works","None found, add some",Studio Deen,Manga,"Slice of Life, Comedy",Iyashikei,12 min. per ep.,G - All Ages,"6.94 scored by 4,080 users",#4094,#5451,"10,094",54
Baumkuchen End,Music,1,Finished Airing,"Aug 29, 2019","None found, add some","None found, add some","None found, add some",Original,,Music,3 min.,G - All Ages,6.94 scored by None users,#4093,#10466,"1,481",5
Back Street Girls: Gokudolls,TV,10,Finished Airing,"Jul 4, 2018 to Sep 5, 2018",Kodansha,"None found, add some",J.C.Staff,Manga,"Ecchi, Comedy","Magical Sex Shift, Workplace, Organized Crime",24 min. per ep.,R - 17+ (violence & profanity),"6.94 scored by 64,854 users",#4092,#1428,"124,767",483
"Zone of the Enders: Dolores, I",TV,26,Finished Airing,"Apr 7, 2001 to Sep 29, 2001","AT-X, TV Tokyo Music",ADV Films,Sunrise,Game,"Adventure, Sci-Fi, Action, Comedy","Space, Mecha, Military",24 min. per ep.,PG-13 - Teens 13 or older,"6.94 scored by 3,823 users",#4091,#5280,"10,947",31
Yuusha Tokkyuu Might Gaine,TV,47,Finished Airing,"Jan 30, 1993 to Jan 24, 1994",Nagoya Broadcasting Network,"None found, add some",Sunrise,Original,"Adventure, Sci-Fi, Action",Mecha,24 min. per ep.,G - All Ages,6.94 scored by None users,#4090,#8993,"2,639",11
Yu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon's,Special,1,Finished Airing,"Sep 21, 2008 to Nov 23, 2008","None found, add some","None found, add some",Gallop,Manga,"Sci-Fi, Fantasy",Strategy Game,28 min.,PG-13 - Teens 13 or older,"6.94 scored by 4,403 users",#4089,#5588,"9,504",6
Urusei Yatsura Movie 3: Remember My Love,Movie,1,Finished Airing,"Jan 26, 1985",Kitty Films,"AnimEigo, Discotek Media",Studio Deen,Manga,"Drama, Sci-Fi, Adventure, Romance, Action, Comedy",,1 hr. 35 min.,PG-13 - Teens 13 or older,"6.94 scored by 2,784 users",#4088,#6564,"6,403",9
UFO Princess Valkyrie 3: Seiresetsu no Hanayome,OVA,6,Finished Airing,"May 25, 2005 to Oct 25, 2005","Media Factory, KlockWorx, Toshiba Entertainment","Funimation, ADV Films",TNK,Manga,"Romance, Sci-Fi, Comedy",,24 min. per ep.,PG-13 - Teens 13 or older,"6.94 scored by 2,945 users",#4087,#6428,"6,748",5
Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo,Movie,1,Finished Airing,"Jul 22, 1978","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Sci-Fi, Action, Drama",Space,35 min.,PG-13 - Teens 13 or older,"6.94 scored by 1,884 users",#4086,#7242,"5,001",5
Uchi Tama?! Uchi no Tama Shirimasen ka?,TV,11,Finished Airing,"Jan 10, 2020 to Mar 20, 2020","Sony Creative Products, Dentsu, Fuji TV, Aniplex",Aniplex of America,"Lapin Track, MAPPA",Original,,"Iyashikei, Pets",23 min. per ep.,PG-13 - Teens 13 or older,"6.94 scored by 6,238 users",#4085,#4101,"20,399",63
Sola Specials,Special,2,Finished Airing,"Sep 25, 2007 to Oct 26, 2007",Bandai Visual,Bandai Entertainment,Nomad,Manga,"Slice of Life, Romance, Supernatural, Comedy",,24 min. per ep.,PG-13 - Teens 13 or older,"6.93 scored by 8,269 users",#4150,#4679,"14,846",3
Shinkon Gattai Godannar!! 2nd Season,TV,13,Finished Airing,"Apr 5, 2004 to Jun 27, 2004","None found, add some","Sentai Filmworks, ADV Films","AIC ASTA, OLM",Original,"Ecchi, Romance, Sci-Fi, Comedy",Mecha,25 min. per ep.,R+ - Mild Nudity,"6.93 scored by 3,065 users",#4149,#6143,"7,582",6
Servamp Specials,Special,4,Finished Airing,"Nov 25, 2016 to Feb 24, 2017","None found, add some",Funimation,Platinum Vision,Manga,,,5 min. per ep.,PG-13 - Teens 13 or older,"6.93 scored by 3,510 users",#4148,#4438,"17,098",21
