product_name,product_brand,product_rating,verified_ratings,items_left,current_price,previous_price,discount
"C30, 6.8"" IPS LCD Screen, 2GB/32GB Memory, 13MP Dual Camera, 6000 mAh Battery, Android 11 - Green",Nokia,0 out of 5,(No ratings available),200 items left,"₦ 59,752","₦ 69,530",14%
32GB Ultra Dual Drive Go USB Type-C Flash Drive - SDDDC3,SanDisk,4.5 out of 5,(2 verified ratings),20 items left,"₦ 5,800","₦ 10,819",46%
Blue Crystal Revivify Beauty Bar,Makari De Suisse,0 out of 5,(No ratings available),2 items left,"₦ 13,359","₦ 17,815",25%
24 Karat Gold Multi-Purpose Dry Oil,Makari De Suisse,4 out of 5,(1 verified rating),1 item left,"₦ 14,249","₦ 19,000",25%
Herbal Bamboo Charcoal Soap And SOD Body Cream (COMBO),Longrich,0 out of 5,(No ratings available),2 items left,"₦ 7,999","₦ 10,000",20%
Nokia Power Earbuds lite Black,Nokia,0 out of 5,(No ratings available),99 items left,"₦ 14,533","₦ 19,390",25%
[KOOCU] 998D LCD Separator Machine For IPAD Digitizer Separate Machine,Koocu,1 out of 5,(1 verified rating),2 items left,"₦ 24,999","₦ 30,000",17%
2021 New Bluetooth Controller Handheld Selfie Stick Tripod Compatible With Android And IOS Phones,,4.3 out of 5,(26 verified ratings),30 items left,"₦ 3,100","₦ 6,314",51%
2 Seat 215*260cm Couch Slipcover Linen Fabric Sofa Cover Pillowcase Decoration,,0 out of 5,(No ratings available),2 items left,"₦ 10,219","₦ 20,446",50%
Party Freaks T-Shirt 5-in-1 Bundle - Multicolour,Chrysolite Designs,3.8 out of 5,(396 verified ratings),60 items left,"₦ 10,100","₦ 14,250",29%
Yellow And Black Contrast Women's Hooded Dress Gown,Danami,4.9 out of 5,(8 verified ratings),60 items left,"₦ 4,500 - ₦ 4,800","₦ 5,500",18%
"16"" 5PP Blades Standing Fan (AFS-1645A) - White/Black",Aucma,0 out of 5,(No ratings available),30 items left,"₦ 11,000","₦ 15,100",27%
Wireless Bluetooth Speaker LED Display - Black,,1 out of 5,(1 verified rating),21 items left,"₦ 6,600","₦ 13,990",53%
Women's Cream Navy Blue Strip Sweatshirt,Danami,3 out of 5,(2 verified ratings),140 items left,"₦ 4,200","₦ 8,000",48%
7w/9w Rechargeable Intelligent Emergency LED Bulb (5 Pack),,0 out of 5,(No ratings available),1 item left,"₦ 16,499","₦ 18,500",11%
Rose Gold Four-leaf Necklace & Earing Female High Version Necklace&earing Does Not Fade Jewelry,,0 out of 5,(No ratings available),19 items left,"₦ 3,300","₦ 5,000",34%
Niversal Bluetooth 5.0 Stereo Wireless Headphone-White,,4 out of 5,(4 verified ratings),29 items left,"₦ 3,400","₦ 8,925",62%
Plain V Neck Sweatshirt- Navy Blue,Danami,4.2 out of 5,(114 verified ratings),140 items left,"₦ 4,100","₦ 5,000",18%
Long Sleeve Grey And Black Contrast T-Shirt,Danami,5 out of 5,(1 verified rating),139 items left,"₦ 4,200","₦ 4,900",14%
Portable Wireless Bluetooth 5.0 Speaker TW S Bass Stereo,,4 out of 5,(13 verified ratings),29 items left,"₦ 3,800","₦ 5,272",28%
Women Lucky Four-leaf Clover Bracelet - Silver,,3 out of 5,(3 verified ratings),16 items left,₦ 900,"₦ 2,000",55%
In Pods 13 Macaron I13 Bluetooth 5.0  Earphone  With Mic,,4.4 out of 5,(5 verified ratings),30 items left,"₦ 2,900","₦ 7,975",64%
"G10, 6.5"" Screen, 3/32GB - Night",Nokia,0 out of 5,(No ratings available),47 items left,"₦ 59,099","₦ 75,180",21%
USB2.0 U Disk OTG USB Flash Drive,TSDATECH,4.1 out of 5,(7 verified ratings),28 items left,"₦ 2,100","₦ 3,143",33%
Condenser Microphone Plug And Play USB Microphone Kit,,4.1 out of 5,(10 verified ratings),28 items left,"₦ 5,200","₦ 11,471",55%
"G10, 6.5"" Screen, 4/64GB - Dusk",Nokia,0 out of 5,(No ratings available),43 items left,"₦ 64,269","₦ 81,760",21%
